('42', '141', '2034-11-21 18:06:29'),
('35', '128', '2033-10-13 13:06:21'),
('20', '80', '2029-10-14 04:19:25'),
('29', '6', '2025-05-26 00:22:02'),
('13', '29', '2025-07-22 01:27:37'),
('6', '134', '2034-04-27 03:08:21'),
('32', '140', '2034-10-13 15:18:05'),
('12', '45', '2026-11-21 09:25:36'),
('46', '23', '2026-10-08 09:16:09'),
('28', '73', '2029-03-21 04:28:18'),
('42', '3', '2026-06-16 07:04:59'),
('3', '5', '2023-07-21 05:57:08'),
('43', '16', '2026-07-20 12:32:20'),
('22', '92', '2030-10-14 06:31:09'),
('19', '79', '2029-09-06 16:38:02'),
('48', '122', '2033-04-27 00:56:37'),
('22', '66', '2028-08-16 09:55:05'),
('20', '96', '2031-02-26 13:13:32'),
('18', '76', '2029-06-10 16:19:08'),
('36', '61', '2028-03-21 02:16:34'),
('4', '121', '2033-03-22 04:22:15'),
('23', '87', '2030-05-15 16:38:36'),
('24', '46', '2026-12-15 20:10:51'),
('42', '113', '2032-07-22 07:56:46'),
('4', '15', '2024-05-16 03:28:12'),
('48', '80', '2029-10-14 04:19:25'),
('13', '127', '2033-09-06 01:24:58'),
('38', '46', '2026-12-15 20:10:51'),
('24', '57', '2027-11-21 11:37:20'),
('30', '34', '2025-12-15 17:59:07'),
('17', '56', '2027-10-13 08:48:56'),
('41', '55', '2027-09-05 21:07:33'),
('39', '9', '2026-03-25 04:07:08'),
('41', '3', '2026-05-03 06:55:32'),
('15', '1', '2024-03-26 14:50:41'),
('47', '115', '2032-09-05 23:13:14'),
('41', '25', '2026-05-03 06:55:32'),
('21', '4', '2024-09-02 08:18:19'),
('7', '110', '2032-04-26 22:44:53'),
('44', '122', '2033-04-27 00:56:37'),
('30', '108', '2032-02-26 15:25:16'),
('35', '138', '2034-08-15 23:05:29'),
('7', '70', '2028-12-16 15:41:20'),
('17', '76', '2029-06-10 16:19:08'),
('32', '85', '2030-03-21 06:40:02'),
('45', '107', '2032-01-12 00:08:48'),
('8', '107', '2032-01-12 00:08:48'),
('26', '38', '2026-04-26 18:27:28'),
('34', '121', '2033-03-22 04:22:15'),
('36', '129', '2033-11-21 15:54:45'),
